gene_symbol,cell_type,rho,pvalue,padj,significant
MSR1,Activated_CD8_T_cell,0.22935222672064773,0.15177156383321644,0.2841762621339831,0
FZD5,Central_memory_CD4_T_cell,0.22854251012145746,0.15330269189521695,0.2841762621339831,0
NMI,CD56bright_natural_killer_cell,-0.22834008097165986,0.15368716217450107,0.2841762621339831,0
LYN,Activated_B_cell,0.22530364372469633,0.1595356116316764,0.2922334568206409,0
TIMP1,Activated_B_cell,0.22226720647773276,0.16553769058665502,0.3004202532868924,0
TLR3,Effector_memory_CD8_T_cell,0.2212550607287449,0.16757277012818683,0.30132351325802403,0
TIMP1,Eosinophil,0.22004048582995947,0.1700376773264458,0.30297622505439437,0
LYN,Type_17_T_helper_cell,0.20485829959514165,0.20298083703087277,0.3584166131355952,0
NMI,Type_1_T_helper_cell,0.2032388663967611,0.20673103968880424,0.3617793194554074,0
TLR3,Immature_dendritic_cell,0.20161943319838052,0.21052735040606585,0.36360346402407207,0
NMI,Activated_dendritic_cell,0.2012145748987854,0.21148364744257253,0.36360346402407207,0
CMKLR1,Gamma_delta_T_cell,-0.19716599190283396,0.22120595503303542,0.37701188857804296,0
LYN,Monocyte,-0.19311740890688256,0.2312191401076631,0.38819301342961715,0
MSR1,Eosinophil,-0.192914979757085,0.23172746209829187,0.38819301342961715,0
FZD5,Type_17_T_helper_cell,0.18987854251012143,0.2394401010255378,0.3936372705736689,0
TLR3,Activated_CD8_T_cell,-0.18967611336032386,0.23996013748491896,0.3936372705736689,0
TIMP1,Central_memory_CD8_T_cell,0.1892712550607287,0.24100241055530747,0.3936372705736689,0
MSR1,CD56bright_natural_killer_cell,-0.1878542510121457,0.24467348092375452,0.396330597198809,0
CMKLR1,Central_memory_CD8_T_cell,0.18421052631578944,0.25427870405006225,0.40277891886070355,0
CMKLR1,Memory_B_cell,-0.18400809716599187,0.2548193160139145,0.40277891886070355,0
TLR3,Type_2_T_helper_cell,-0.18400809716599187,0.2548193160139145,0.40277891886070355,0
CMKLR1,CD56dim_natural_killer_cell,-0.1817813765182186,0.2608146505263087,0.408957372025252,0
MSR1,CD56dim_natural_killer_cell,-0.17874493927125504,0.2691338034237398,0.41865258310359527,0
NMI,Natural_killer_T_cell,0.17712550607287447,0.2736385195580704,0.422308266404581,0
CMKLR1,Activated_CD4_T_cell,0.17307692307692304,0.2851068025179231,0.4365697913555697,0
NMI,Effector_memory_CD8_T_cell,0.17044534412955462,0.29271931809671736,0.44311306873483586,0
FZD5,Eosinophil,0.17004048582995948,0.29390152518126866,0.44311306873483586,0
LYN,Plasmacytoid_dendritic_cell,0.16639676113360322,0.30467386074466596,0.4554428386702095,0
NMI,Mast_cell,0.16538461538461535,0.3077084503834042,0.4554428386702095,0
MSR1,Effector_memory_CD4_T_cell,-0.16477732793522265,0.30953801567755734,0.4554428386702095,0
FZD5,Central_memory_CD8_T_cell,-0.16417004048582992,0.3113741856214698,0.4554428386702095,0
MSR1,Plasmacytoid_dendritic_cell,0.1609311740890688,0.32127848636830025,0.46644876539397667,0
TIMP1,Effector_memory_CD4_T_cell,-0.15931174089068822,0.3263008601279773,0.4702571219491438,0
TIMP1,Activated_CD8_T_cell,-0.1568825910931174,0.33392195115931766,0.4777277549432574,0
TLR3,Monocyte,-0.1560728744939271,0.33648560644016623,0.4779070932048738,0
NMI,Effector_memory_CD4_T_cell,-0.1540485829959514,0.3429455656142655,0.48357791985896426,0
LYN,CD56dim_natural_killer_cell,-0.15101214574898783,0.35277120444824495,0.49387968622754297,0
