gene_symbol,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations
GPC3,0.0395,0.0785,0.191,0.8765,0.28631985,-0.24126874,0.67277336,48.0,4.0,139.02499999999986,2000
GPR132,0.0095,0.0315,0.0965,0.7595,0.20161432,-0.3477045,0.68090636,65.0,9.0,145.0,2000
GPR183,0.0095,0.035,0.125,0.8625,0.27317798,-0.21227683,0.69654787,49.0,9.0,126.0,2000
HBEGF,0.0,0.0,0.0035,0.5395,0.017907042,-0.3987424,0.38429004,102.0,45.0,146.0,2000
HIF1A,0.0315,0.0865,0.205,0.877,0.2915305,-0.23946698,0.7261166,48.0,5.0,134.02499999999986,2000
HPN,0.08,0.177,0.3955,0.966,0.43834588,-0.027133359,0.8340571,25.0,2.0,99.0,2000
HRH1,0.001,0.0025,0.008,0.383,-0.06552625,-0.4720055,0.39081356,116.0,37.0,155.0,2000
ICAM1,0.0025,0.0115,0.0415,0.8525,0.18637303,-0.17760997,0.61336404,67.0,16.0,124.0,2000
ICOSLG,0.0035,0.0095,0.0395,0.651,0.08692729,-0.41928676,0.57567453,86.0,15.0,151.0,2000
IFITM1,0.003,0.006,0.021,0.315,-0.14693107,-0.5898104,0.5294634,128.5,25.0,158.0,2000
IFNAR1,0.004,0.012,0.0355,0.4625,-0.026054999,-0.5124889,0.5325707,111.0,17.0,156.0,2000
IFNGR2,0.262,0.392,0.591,0.996,0.5217192,0.12641008,0.9726345,16.0,1.0,82.0,2000
IL10RA,0.11,0.3,0.6155,0.9965,0.51067734,0.19067211,0.7463254,16.0,3.0,65.0,2000
IL15,0.0,0.0005,0.0035,0.498,-0.0012828745,-0.3957935,0.41361707,104.0,40.0,150.0,2000
IL15RA,0.0285,0.073,0.1495,0.707,0.15773925,-0.421885,0.7061572,73.0,5.0,152.0,2000
IL18,0.0005,0.0005,0.0005,0.065,-0.26595983,-0.569336,0.106469505,144.0,72.0,157.0,2000
IL18R1,0.002,0.005,0.0135,0.4565,-0.026970044,-0.6640707,0.46271583,111.0,29.0,157.0,2000
