model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling
total_association,ICAM1,0.17556229127442813,0.21792291959998403,-0.27901695333259025,0.6301415358814465,0.8056164610711327,0.429938791385032,20,26,,,0.9823353820001004,57,0.17556229127442818,0.8056164610711328,0.3326,0.8557483870967743,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,GABBR1,0.17503420741973394,0.21398744639376358,-0.27133578393141444,0.6214041987708824,0.8179648403189465,0.42301587156339404,20,26,,,0.9823353820001004,58,0.17503420741973386,0.8179648403189461,0.3602,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NPFFR2,0.17496166215812337,0.2760537437180688,-0.4008763567186592,0.7507996810349059,0.6337956508092502,0.5333963678675298,20,26,,,0.9823353820001004,59,0.17496166215812337,0.6337956508092502,0.4206,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SERPINE1,0.17494811673559107,0.28380927758003704,-0.41706766229128966,0.7669638957624718,0.6164284629005969,0.544565076890428,20,26,,,0.9823353820001004,60,0.1749481167355911,0.6164284629005968,0.4688,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,PSEN1,0.17377843589706266,0.21645919627885551,-0.2777475353651711,0.6253044071592964,0.8028230672777285,0.4315146366870196,20,26,,,0.9823353820001004,61,0.17377843589706266,0.8028230672777282,0.3318,0.8557483870967743,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,OSMR,0.17305806050653944,0.19260463807980394,-0.22870817430179718,0.5748242953148761,0.89851450220443,0.37960168393824867,20,26,,,0.9823353820001004,62,0.1730580605065394,0.8985145022044297,0.2956,0.8340142857142856,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TPBG,0.17148488756113844,0.23269135282028638,-0.3139007689168171,0.6568705440390941,0.7369628715579333,0.46970266063253974,20,26,,,0.9823353820001004,63,0.17148488756113847,0.7369628715579334,0.3944,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,LYN,0.17006048050317507,0.26766580514297045,-0.38828060510804124,0.7284015661143914,0.6353463058620407,0.5324052440749267,20,26,,,0.9823353820001004,64,0.1700604805031751,0.6353463058620407,0.4678,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,F3,0.16730118748986203,0.25160860204644114,-0.3575451593966703,0.6921475343763943,0.664926342458602,0.513692576988819,20,26,,,0.9823353820001004,65,0.16730118748986203,0.664926342458602,0.4446,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NDP,0.16674645374464175,0.14770010223514968,-0.14135056067530755,0.47484346816459105,1.1289528661203554,0.2722777838740445,20,26,,,0.954330993468347,66,0.1667464537446418,1.1289528661203556,0.175,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage))
