model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta
total_mean_severity,IL1B,0.15162710853125044,0.22625857697859242,-0.3203400126764768,0.6235942297389777,0.6701496604285491,0.5104268888073296,20.0,26,,,0.9823353820001004,71
total_mean_severity,RASGRP1,0.15030438109958155,0.24700619953212385,-0.36494152237248056,0.6655502845716437,0.6085044884876828,0.5497022028866505,20.0,26,,,0.9823353820001004,72
total_mean_severity,TLR3,0.14988830107995302,0.2937983617985892,-0.4629643424984875,0.7627409446583935,0.510174053260064,0.6155139418861388,20.0,26,,,0.9823353820001004,73
total_mean_severity,KLF6,0.14905853164522465,0.24841332344567987,-0.3691225808762889,0.6672396441667382,0.6000424195355972,0.5552164373761,20.0,26,,,0.9823353820001004,74
total_mean_severity,ADRM1,0.1489628617999377,0.27332047521102354,-0.4211736588795856,0.7190993824794609,0.5450117181485485,0.5917718678673076,20.0,26,,,0.9823353820001004,75
total_mean_severity,LY6E,0.1449582956719202,0.2227704279279206,-0.31973267411749057,0.609649265461331,0.6507070845095417,0.5226416496492818,20.0,26,,,0.9823353820001004,76
total_mean_severity,RGS16,0.13171686899911925,0.23893896260052871,-0.36670107311320244,0.6301348111114409,0.5512573904463239,0.5875636570850711,20.0,26,,,0.9823353820001004,77
total_mean_severity,LIF,0.12704052953779532,0.20369940259218913,-0.297868978499399,0.5519500375749896,0.623666677079723,0.5398950651109897,20.0,26,,,0.9823353820001004,78
total_mean_severity,SCN1B,0.12210499519422305,0.1852226888735159,-0.2642627634002237,0.5084727537886697,0.6592334661419671,0.5172651313151226,20.0,26,,,0.9823353820001004,79
total_mean_severity,SEMA4D,0.11773270235376904,0.3685825650331906,-0.6511170556049495,0.8865824603124877,0.3194201612416672,0.752720352092602,20.0,26,,,0.9839806753369736,80
total_mean_severity,PTAFR,0.11364490113257396,0.21558385682092313,-0.3360551440164633,0.5633449462816112,0.5271494016686705,0.6038887026695245,20.0,26,,,0.9823353820001004,81
total_mean_severity,ITGA5,0.11136696442834662,0.23479160691131426,-0.37839974531346365,0.6011336741701568,0.4743225956556968,0.6404075316239181,20.0,26,,,0.9839806753369736,82
total_mean_severity,PDPN,0.11031483727698563,0.26889326650600864,-0.4505866878704594,0.6712163624244307,0.4102551124110077,0.6859803469421994,20.0,26,,,0.9839806753369736,83
total_mean_severity,RHOG,0.10773065383521564,0.2402288129184946,-0.3933778688928271,0.6088391765632584,0.44845017767192963,0.6586490331696373,20.0,26,,,0.9839806753369736,84
total_mean_severity,P2RX7,0.10761859916571623,0.2907123261843368,-0.49879668692443313,0.7140338852558656,0.37018932282037714,0.7151327798077391,20.0,26,,,0.9839806753369736,85
total_mean_severity,RAF1,0.09174152382949227,0.21231896347800722,-0.3511480731470009,0.5346311208059854,0.43209293379484304,0.6702966331493221,20.0,26,,,0.9839806753369736,86
total_mean_severity,ICOSLG,0.08752032298753987,0.3062818607036388,-0.5513724430008172,0.726413088975897,0.2857509184072293,0.7780074961548082,20.0,26,,,0.9839806753369736,87
total_mean_severity,AHR,0.08257826668632332,0.14166821953547046,-0.21293646090389992,0.3780929942765465,0.5828990224984625,0.5664762769056315,20.0,26,,,0.9823353820001004,88
total_mean_severity,SCARF1,0.08141677852867159,0.2870347305493389,-0.5173271774930479,0.680160734550391,0.2836478302568222,0.7795957786848275,20.0,26,,,0.9839806753369736,89
total_mean_severity,LCP2,0.07869208961132128,0.2325167505546778,-0.406329352922765,0.5637135321454075,0.3384362177073188,0.7385615693674927,20.0,26,,,0.9839806753369736,90
total_mean_severity,FZD5,0.07741797910169397,0.31578900501101237,-0.5813063423997258,0.7361423006031138,0.24515729766777095,0.8088325921402753,20.0,26,,,0.9839806753369736,91
total_mean_severity,PCDH7,0.06875868284422994,0.22957277830700085,-0.4101217411914372,0.547639106879897,0.2995071251534927,0.7676435213653335,20.0,26,,,0.9839806753369736,92
total_mean_severity,EMP3,0.05662657450549892,0.19010668624472116,-0.3399290240818244,0.4531821730928222,0.2978673481931323,0.7688766329736041,20.0,26,,,0.9839806753369736,93
total_mean_severity,PTPRE,0.05327559620418755,0.22265369198202367,-0.41117186666910027,0.5177230590774754,0.23927560207934412,0.8133268541865325,20.0,26,,,0.9839806753369736,94
