contrast,multiplicity_family,gene_symbol,case_group,control_group,n_case_donors,n_control_donors,mean_difference,cliff_delta,mannwhitney_pvalue,covariate_adjusted_case_beta,covariate_adjusted_case_pvalue_t,covariate_adjusted_residual_df,covariate_adjusted_estimable,mannwhitney_padj_within_contrast_158,mannwhitney_padj_global_790,adjusted_padj_within_contrast_158,adjusted_padj_global_estimable_contrasts
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ITGB3,PDR + DME,NPDR + DME,2,5,-0.04419127708678583,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ITGB8,PDR + DME,NPDR + DME,2,5,0.018060181927646468,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,KCNA3,PDR + DME,NPDR + DME,2,5,-0.08002011618461458,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,KCNJ2,PDR + DME,NPDR + DME,2,5,0.18038800959269885,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,KCNMB2,PDR + DME,NPDR + DME,2,5,0.12072742863333163,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,KIF1B,PDR + DME,NPDR + DME,2,5,0.05652844138063351,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,KLF6,PDR + DME,NPDR + DME,2,5,0.0428827942154415,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LAMP3,PDR + DME,NPDR + DME,2,5,0.07566431606709378,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LCP2,PDR + DME,NPDR + DME,2,5,-0.07775840120394828,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LDLR,PDR + DME,NPDR + DME,2,5,-0.020593879416376026,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LIF,PDR + DME,NPDR + DME,2,5,0.13625716326274473,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LPAR1,PDR + DME,NPDR + DME,2,5,-0.12190969460834244,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LY6E,PDR + DME,NPDR + DME,2,5,-0.05168638131235781,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,LYN,PDR + DME,NPDR + DME,2,5,0.39499260353505505,1.0,0.09523809523809523,,,,False,0.974306269270298,0.5743633632718074,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MEFV,PDR + DME,NPDR + DME,2,5,0.04648929716299799,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MET,PDR + DME,NPDR + DME,2,5,-0.018430925983316193,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MMP14,PDR + DME,NPDR + DME,2,5,0.39674019529444404,0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MSR1,PDR + DME,NPDR + DME,2,5,-0.13607494177493207,-0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MXD1,PDR + DME,NPDR + DME,2,5,-0.08552095892835787,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,MYC,PDR + DME,NPDR + DME,2,5,-0.22554964043264025,-0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,NAMPT,PDR + DME,NPDR + DME,2,5,-0.09255771864391527,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,NDP,PDR + DME,NPDR + DME,2,5,0.40423699000358315,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,NFKB1,PDR + DME,NPDR + DME,2,5,0.2815327916055521,1.0,0.09523809523809523,,,,False,0.974306269270298,0.5743633632718074,,
