model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max,candidate_tier,maximum_cooks_distance,maximum_cooks_donor,maximum_absolute_severity_dfbeta
total_association,NOD2,0.4155417586744447,0.2559361532197762,-0.1183317017758369,0.9494152191247263,1.6236149267962654,0.12011510848739866,20,26,,,0.954330993468347,21,0.4155417586744447,1.6236149267962652,0.0756,0.60198,4999,Rademacher,HC3 (residual/(1-leverage)),0.0715,0.178,0.422,0.9895,0.44587114,0.08208697,0.8068858,24.0,3.0,77.0,2000,0.0,0.0,0.4230769230769231,1.0,0.2535106897105385,0.49491124867096364,12,21.0,35,not prioritized,,,
total_association,OLR1,0.4100456205965132,0.22662957093992303,-0.06269538045370604,0.8827866216467325,1.809320905898956,0.08545804117024695,20,26,,,0.9001580336599345,22,0.41004562059651317,1.8093209058989552,0.063,0.60198,4999,Rademacher,HC3 (residual/(1-leverage)),0.041,0.127,0.37,0.9725,0.4224599,-0.003842933,0.78315896,26.0,5.0,88.0,2000,0.0,0.038461538461538464,0.4230769230769231,1.0,0.31485806143069456,0.5178129041695574,9,21.0,27,not prioritized,,,
total_association,ITGB8,0.40096894712709635,0.24513985619985393,-0.11038383237380239,0.912321726627995,1.6356742365068553,0.11754895141478595,20,26,,,0.954330993468347,23,0.4009689471270963,1.6356742365068546,0.0762,0.60198,4999,Rademacher,HC3 (residual/(1-leverage)),0.0475,0.118,0.302,0.956,0.39059845,-0.062085606,0.7484132,32.0,4.0,109.0,2000,0.0,0.0,0.2692307692307692,1.0,0.23711913821546,0.496877145429409,11,22.0,44,not prioritized,,,
total_association,PLAUR,0.37758441325497755,0.2811617028040805,-0.20890862156535478,0.9640774480753098,1.3429439695707295,0.19433327330309944,20,26,,,0.954330993468347,24,0.3775844132549775,1.3429439695707293,0.1806,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage)),0.0445,0.1345,0.3015,0.924,0.3746311,-0.22178833,0.7633641,33.5,4.0,126.02499999999986,2000,0.0,0.0,0.19230769230769232,1.0,0.20638733160204906,0.48570622124020657,15,24.0,46,not prioritized,,,
total_association,CMKLR1,0.3376510222336421,0.2570403774595761,-0.198525809618447,0.8738278540857312,1.3136108247691294,0.20384756467987855,20,26,,,0.954330993468347,25,0.3376510222336421,1.3136108247691294,0.1438,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage)),0.0215,0.078,0.2245,0.9405,0.34313634,-0.07691454,0.7297224,38.0,6.0,107.0,2000,0.0,0.0,0.0,1.0,0.21681856370221408,0.4196587321582113,22,28.0,47,not prioritized,,,
total_association,SLC31A2,0.33567614996079975,0.2742855980090976,-0.23647358159762888,0.9078258815192284,1.2238198155400997,0.23524279682381688,20,26,,,0.954330993468347,26,0.33567614996079975,1.2238198155400994,0.2078,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.036,0.104,0.2445,0.925,0.34015933,-0.14634629,0.6805968,40.0,5.0,127.0,2000,0.0,0.0,0.07692307692307693,1.0,0.18569954406775985,0.44717720524908094,18,28.0,51,not prioritized,,,
total_association,BEST1,0.33113554686363733,0.3013212684866399,-0.29740960508326875,0.9596806988105434,1.0989451508907322,0.28484546736187594,20,26,,,0.954330993468347,27,0.33113554686363733,1.098945150890732,0.257,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.0265,0.068,0.1795,0.8605,0.30296215,-0.29916254,0.7148981,45.0,5.0,140.0,2000,0.0,0.0,0.0,1.0,0.11869577596756671,0.4343423554194105,22,28.0,78,not prioritized,,,
total_association,RGS1,0.33064850193154993,0.2790594960294563,-0.25145940639832165,0.9127564102614215,1.1848674086928335,0.24995903828230837,20,26,,,0.954330993468347,28,0.3306485019315499,1.184867408692833,0.2282,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.002,0.0245,0.1545,0.916,0.32372183,-0.17852657,0.6928111,41.0,11.0,119.0,2000,0.0,0.0,0.0,1.0,0.14596437556969227,0.42219481979618567,21,29.0,66,not prioritized,,,
total_association,DCBLD2,0.31834177245859496,0.22043422859957557,-0.1414759709263611,0.778159515843551,1.4441576268850287,0.16417861328242056,20,26,,,0.954330993468347,29,0.3183417724585949,1.4441576268850278,0.1116,0.7347,4999,Rademacher,HC3 (residual/(1-leverage)),0.0335,0.091,0.2245,0.937,0.32695127,-0.08980625,0.66185886,42.0,5.0,119.0,2000,0.0,0.0,0.038461538461538464,1.0,0.20118194424694869,0.40057272132705224,18,28.5,51,not prioritized,,,
total_association,APLNR,0.31810327777062775,0.3192588457693447,-0.34785900472050657,0.9840655602617621,0.9963804667778827,0.33096842009719707,20,26,,,0.954330993468347,30,0.3181032777706277,0.9963804667778825,0.2724,0.8093111111111112,4999,Rademacher,HC3 (residual/(1-leverage)),0.0555,0.1105,0.2315,0.891,0.29985452,-0.18429773,0.7561276,45.0,3.0,129.0,2000,0.0,0.0,0.038461538461538464,1.0,0.11247939722931681,0.44903326626450496,14,31.0,82,not prioritized,,,
