gene_symbol,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max
MET,0.0,0.0,0.0,1.0,0.12446590876933811,0.3749424779683277,26,40.5,76
MMP14,0.0,0.0,0.0,1.0,0.16797369044419858,0.37315484560807477,27,45.0,63
MSR1,0.0,0.0,0.038461538461538464,1.0,0.20233104788990536,0.37673211152611186,20,33.5,61
MXD1,0.0,0.0,0.0,0.11538461538461539,-0.1365009112785912,0.0884659995773319,89,117.5,142
MYC,0.0,0.0,0.0,0.07692307692307693,-0.20699280909365825,0.023393570577293746,101,126.5,149
NAMPT,0.0,0.0,0.0,0.0,-0.2795854481490188,-0.11915352231841593,134,148.0,154
NDP,0.0,0.0,0.0,1.0,0.11676693823037082,0.2708473126444973,40,65.5,86
NFKB1,0.0,0.0,0.0,0.0,-0.25965399985422943,-0.01229186077583531,112,132.5,150
NFKBIA,0.0,0.0,0.0,0.9615384615384616,-0.1080849994902366,0.34686949096665753,30,71.0,129
NLRP3,0.5769230769230769,0.9615384615384616,1.0,1.0,0.4683633690889076,0.6119494036466387,3,4.5,12
NMI,0.0,0.0,0.0,1.0,0.08854307127947392,0.28890509250445506,34,58.5,84
NMUR1,0.0,0.0,0.0,0.07692307692307693,-0.13858080494278546,0.028200909397468985,96,123.0,143
NOD2,0.0,0.0,0.4230769230769231,1.0,0.2535106897105385,0.49491124867096364,12,21.0,35
NPFFR2,0.0,0.0,0.0,1.0,0.10119527249447817,0.30463774733233895,30,66.0,83
OLR1,0.0,0.038461538461538464,0.4230769230769231,1.0,0.31485806143069456,0.5178129041695574,9,21.0,27
OPRK1,0.2692307692307692,0.8461538461538461,1.0,1.0,0.4329250505872179,0.5661746943015513,4,6.0,15
OSM,0.0,0.0,0.0,1.0,0.03292165920713554,0.3080458078018754,41,70.5,101
OSMR,0.0,0.0,0.0,1.0,0.10200010209732392,0.27554482008086334,31,62.5,80
P2RX4,1.0,1.0,1.0,1.0,0.5905372968887174,0.7528280779745088,1,1.0,4
P2RX7,0.0,0.0,0.0,1.0,0.005543741436065154,0.2612585204115234,34,84.5,108
P2RY2,0.038461538461538464,0.34615384615384615,1.0,1.0,0.3500768776247929,0.5679401021177596,3,13.0,19
PCDH7,0.0,0.0,0.0,0.9230769230769231,-0.045714007667510166,0.18099982205766485,52,93.0,120
PDE4B,0.0,0.0,0.0,0.5769230769230769,-0.10892873933313316,0.12086959208514776,83,108.0,135
PDPN,0.0,0.0,0.0,1.0,0.02454744072798464,0.22363175271508667,55,83.0,100
PIK3R5,0.038461538461538464,0.38461538461538464,1.0,1.0,0.3448455252565406,0.6080667715174499,5,11.0,20
PLAUR,0.0,0.0,0.19230769230769232,1.0,0.20638733160204906,0.48570622124020657,15,24.0,46
PSEN1,0.0,0.0,0.0,1.0,0.060021511910552716,0.23784620515524466,43,59.5,99
PTAFR,0.0,0.0,0.0,1.0,0.023998518443031067,0.23011989124711138,58,84.0,101
PTGER2,0.0,0.0,0.0,1.0,0.14868500203882692,0.35878897056989556,25,34.0,64
PTGER4,0.0,0.0,0.0,0.0,-0.47403937436041116,-0.25491100525127663,153,158.0,158
PTPRE,0.0,0.0,0.0,0.9615384615384616,-0.06930114931362218,0.16562068599169866,58,95.0,125
PVR,0.0,0.0,0.0,0.0,-0.20044059297931252,-0.010141260630648555,119,135.0,146
RAF1,0.0,0.0,0.0,1.0,0.014325344532653895,0.1786630139613235,59,87.5,111
RASGRP1,0.0,0.0,0.0,1.0,0.06695912129783368,0.31307323814817345,38,71.5,95
RELA,0.0,0.0,0.0,0.0,-0.22998709087342994,-0.010739844769053562,107,139.0,149
RGS1,0.0,0.0,0.0,1.0,0.14596437556969227,0.42219481979618567,21,29.0,66
RGS16,0.0,0.0,0.0,1.0,0.03569242533488825,0.2475399338504955,51,77.0,98
RHOG,0.0,0.0,0.0,1.0,0.03162418722370671,0.1983307267397743,55,81.0,105
RIPK2,0.0,0.0,0.0,1.0,0.20867958223103797,0.37710965043606903,26,40.0,52
RNF144B,0.0,0.0,0.0,0.8846153846153846,-0.039160600331959665,0.19780975981922175,58,96.5,117
SCARF1,0.0,0.0,0.0,0.9615384615384616,-0.05114464610385473,0.2540957866445684,39,89.5,122
SCN1B,0.0,0.0,0.0,1.0,0.058774809062124414,0.20064888300729816,54,80.5,96
SELE,0.0,0.0,0.0,1.0,0.15246827382872616,0.24545986690802088,46,56.0,76
SELENOS,0.0,0.0,0.0,0.038461538461538464,-0.2762468564025456,0.12235533305784428,81,138.0,152
SELL,0.0,0.0,0.0,1.0,0.18719656853021074,0.3368790168858618,31,40.5,59
SEMA4D,0.0,0.0,0.0,0.9615384615384616,-0.1293287586658014,0.32187957068331713,22,82.0,141
SERPINE1,0.0,0.0,0.0,1.0,0.07593275246431495,0.3196371820101432,23,65.5,88
SGMS2,0.0,0.0,0.0,0.7307692307692307,-0.09207386005767337,0.13620607195790158,72,100.0,130
SLC11A2,0.0,0.0,0.0,0.07692307692307693,-0.19289827388114533,0.07141054406310021,92,119.5,149
SLC1A2,0.0,0.0,0.0,0.0,-0.4052279976067005,-0.23250853713922456,147,155.0,158
SLC31A1,0.038461538461538464,0.15384615384615385,0.8461538461538461,1.0,0.30669248134501537,0.593580810659116,3,15.0,39
SLC31A2,0.0,0.0,0.07692307692307693,1.0,0.18569954406775985,0.44717720524908094,18,28.0,51
SLC4A4,0.0,0.038461538461538464,0.9615384615384616,1.0,0.4110876175288134,0.5281501948469007,10,15.0,22
SLC7A1,0.0,0.0,0.0,0.0,-0.19941942473694602,-0.0397894836240965,116,138.0,147
SLC7A2,0.0,0.0,0.0,0.0,-0.452407308628787,-0.04325095544230242,119,149.0,158
SPHK1,0.0,0.0,0.0,0.07692307692307693,-0.23566989288326012,0.040214303053745064,98,127.5,148
SRI,0.0,0.0,0.0,0.4230769230769231,-0.1154020658528688,0.10887851980553,83,109.5,133
STAB1,0.0,0.0,0.0,1.0,0.16197707428273778,0.33756538379614043,32,48.0,59
TACR1,0.0,0.0,0.0,0.11538461538461539,-0.20299175409540152,0.03713367870631971,99,120.5,146
TACR3,0.0,0.0,0.0,0.8076923076923077,-0.03086846921534116,0.13940204588488822,71,96.5,119
TAPBP,0.0,0.0,0.0,0.7692307692307693,-0.10321635953439252,0.12941678382524954,74,103.0,128
TIMP1,0.0,0.0,0.038461538461538464,1.0,0.07225280881960357,0.4267148812853169,20,42.5,90
TLR1,0.038461538461538464,0.19230769230769232,0.7692307692307693,1.0,0.3746826500774534,0.6151185122406657,3,17.0,26
TLR2,0.9615384615384616,1.0,1.0,1.0,0.5337136823706546,0.7034519600237833,1,2.0,7
TLR3,0.0,0.0,0.0,1.0,0.005948834782349578,0.3029368252464124,41,70.5,106
TNFRSF1B,0.0,0.0,0.0,1.0,0.1987405996400062,0.3412227718331001,31,42.5,52
TNFSF10,0.038461538461538464,0.07692307692307693,0.7692307692307693,1.0,0.34995773226053417,0.5611247925744537,5,18.0,28
TNFSF9,0.0,0.0,0.0,0.038461538461538464,-0.13112806946803018,0.008436658949488555,104,122.0,142
TPBG,0.0,0.0,0.0,1.0,0.09473447667147553,0.2958279527214475,30,65.5,87
VIP,0.0,0.0,0.0,0.0,-0.32601753809247963,-0.009191709949846909,110,139.0,158
